size,n,dt,dx,a,xmed,stdvar,skew,iter,time,program_time,a_real,xmod_real,stdvar_real,skew_real,real_time
400,256,5.0e-18,1.562e+00,99.99996927,20.01039207,15.01640912,-0.16323950,2708,1.354e-14,1.0983877182,100.00000000,20.01034537,5.04049683,-0.00000000,2.1745064934e-14
400,256,1.0e-17,1.562e+00,99.99901728,20.01032080,15.01638851,-0.16323765,1355,1.355e-14,0.5494115353,100.00000000,20.01027409,5.04049669,-0.00000000,2.1745026198e-14
400,256,5.0e-17,1.562e+00,97.04543226,20.08936559,15.02472047,-0.16303524,273,1.365e-14,0.1185641289,100.00000000,20.08931819,5.04065621,-0.00000000,2.1787985562e-14
400,256,1.0e-16,1.562e+00,42.91333445,20.23812433,14.46829772,-0.17495092,133,1.330e-14,0.0619661808,100.00000000,20.23808236,5.04095728,0.00000000,2.1868836817e-14
400,512,1.0e-19,7.812e-01,100.00000000,20.00010851,5.04278204,0.04539083,27679,2.768e-15,24.9497554302,100.00000000,20.00006081,5.04047610,-0.00000000,2.1739475420e-14
400,512,5.0e-19,7.812e-01,100.00000000,20.00444424,5.04279128,0.04539498,5538,2.769e-15,4.2737212181,100.00000000,20.00439697,5.04048484,0.00000000,2.1741832062e-14
400,512,1.0e-18,7.812e-01,99.99999995,20.00444415,5.04279127,0.04539499,2770,2.770e-15,4.4526617527,100.00000000,20.00439688,5.04048484,-0.00000000,2.1741832014e-14
400,512,5.0e-18,7.812e-01,99.99983326,20.03329035,5.04285131,0.04542415,556,2.780e-15,0.9589288235,100.00000000,20.03324580,5.04054302,-0.00000000,2.1757511000e-14
400,512,1.0e-17,7.812e-01,99.99467734,20.03240798,5.04284574,0.04544644,279,2.790e-15,0.4759011269,100.00000000,20.03236335,5.04054124,-0.00000000,2.1757031400e-14
400,1024,1.0e-19,3.906e-01,99.99999983,20.00149256,5.34974756,0.00565561,21288,2.129e-15,89.5532457829,100.00000000,20.00144500,5.04047889,0.00000000,2.1740227709e-14
400,1024,5.0e-19,3.906e-01,99.99945983,20.00521797,5.34981123,0.00565510,4258,2.129e-15,10.5379550457,100.00000000,20.00517078,5.04048640,0.00000000,2.1742252616e-14
400,1024,1.0e-18,3.906e-01,99.98274533,20.00474379,5.34981296,0.00565485,2129,2.129e-15,14.7155833244,100.00000000,20.00469654,5.04048545,-0.00000000,2.1741994875e-14
400,1024,5.0e-18,3.906e-01,59.92630847,20.02665119,5.35421594,0.00576715,428,2.140e-15,2.9523897171,100.00000000,20.02660603,5.04052962,-0.00000000,2.1753902379e-14
