,size,n,dt,dx,a,xmed,stdvar,skew,iter,time,program_time,a_real,xmod_real,stdvar_real,skew_real,real_time
29,100,1024,5e-16,0.09766,99.99997329,25.18042738,5.51138985,-0.00761255,4,1.9999999999999998e-15,0.0019156932999999999,100.0,25.18038019,5.05158186,0.0,2.4554915323e-14
30,100,2048,1.0000000000000001e-20,0.04883,100.0,20.00025355,5.04047688,-3.35e-06,55067,5.507000000000001e-16,26.9882199764,100.0,20.00020586,5.04047639,0.0,2.1739558402e-14
31,100,2048,5e-20,0.04883,100.0,20.00243272,5.04048128,-3.35e-06,11014,5.507000000000001e-16,5.313467741,100.0,20.00238525,5.04048079,0.0,2.1740742854000002e-14
32,100,2048,1e-19,0.04883,100.0,20.00243272,5.04048128,-3.35e-06,5507,5.507000000000001e-16,2.6874542236,100.0,20.00238525,5.04048079,0.0,2.1740742854000002e-14
33,100,2048,5e-19,0.04883,99.99999999,20.02422449,5.04052523,-3.45e-06,1102,5.51e-16,0.5356969832999999,100.0,20.02417911,5.04052473,0.0,2.1752587351e-14
34,100,2048,1e-18,0.04883,99.99999999,20.02422449,5.04052523,-3.45e-06,551,5.51e-16,0.2697052956,100.0,20.02417911,5.04052473,0.0,2.1752587351e-14
35,100,2048,5e-18,0.04883,99.99999999,20.31478142,5.04111356,-5.07e-06,111,5.549999999999999e-16,0.057310104400000006,100.0,20.31473809,5.04111284,0.0,2.1910502211e-14
36,100,2048,1e-17,0.04883,99.99999999,20.67797755,5.04185499,-8e-06,56,5.599999999999999e-16,0.030995369,100.0,20.67793061,5.04185386,0.0,2.2107892993e-14
37,100,2048,5e-17,0.04883,99.99999957,23.58353966,5.04805229,-0.00024441,12,6e-16,0.0064067841,100.0,23.58349365,5.04801704,0.0,2.3687028407e-14
38,100,2048,1e-16,0.04883,99.99999957,23.58353966,5.04805229,-0.00024441,6,6e-16,0.0035402775,100.0,23.58349365,5.04801704,0.0,2.3687028407e-14
39,100,2048,5e-16,0.04883,99.99998583,25.22930362,5.51151677,-0.00827662,4,1.9999999999999998e-15,0.0026564597999999997,100.0,25.22925877,5.05169296,0.0,2.4581479755999998e-14
40,100,4096,1.0000000000000001e-20,0.02441,100.0,20.00025354,5.0404769,-3.44e-06,55067,5.507000000000001e-16,42.2275083065,100.0,20.00020586,5.04047639,0.0,2.1739558401e-14
41,100,4096,5e-20,0.02441,100.0,20.00243272,5.04048129,-3.45e-06,11014,5.507000000000001e-16,8.43379426,100.0,20.00238525,5.04048079,0.0,2.1740742853e-14
42,100,4096,1e-19,0.02441,100.0,20.00243272,5.04048129,-3.45e-06,5507,5.507000000000001e-16,4.2191326618,100.0,20.00238525,5.04048079,0.0,2.1740742853e-14
43,100,4096,5e-19,0.02441,100.0,20.02422449,5.04052525,-3.55e-06,1102,5.51e-16,0.8348705769,100.0,20.0241791,5.04052473,0.0,2.1752587349e-14
44,100,4096,1e-18,0.02441,100.0,20.02422449,5.04052525,-3.55e-06,551,5.51e-16,0.42925310130000005,100.0,20.0241791,5.04052473,0.0,2.1752587349e-14
45,100,4096,5e-18,0.02441,100.0,20.31478142,5.04111359,-5.21e-06,111,5.549999999999999e-16,0.08927106859999999,100.0,20.31473809,5.04111284,0.0,2.1910502209e-14
46,100,4096,1e-17,0.02441,99.99999999,20.67797754,5.04185503,-8.21e-06,56,5.599999999999999e-16,0.048181057,100.0,20.67793061,5.04185386,0.0,2.2107892990000002e-14
47,100,4096,5e-17,0.02441,99.99999978,23.5835395,5.048053400000001,-0.00025069,12,6e-16,0.0102562904,100.0,23.58349349,5.04801704,0.0,2.3687028322000002e-14
48,100,4096,1e-16,0.02441,99.99999978,23.5835395,5.048053400000001,-0.00025069,6,6e-16,0.005600214,100.0,23.58349349,5.04801704,0.0,2.3687028322000002e-14
49,100,4096,5e-16,0.02441,99.9999927,25.25372317,5.51158427,-0.00862904,4,1.9999999999999998e-15,0.0041224957,100.0,25.25367944,5.05174851,0.0,2.4594751862e-14
50,250,256,1.0000000000000001e-20,0.9766,99.99700689,20.00000827,30.27012452,-0.02986151,2577202,2.577e-14,579.8644351959,100.0,19.99996056,5.040475900000001,0.0,2.1739425086e-14
51,250,256,5e-20,0.9766,99.99700688,20.00000827,30.27012452,-0.02986151,515442,2.577e-14,116.2997050285,100.0,19.99996056,5.040475900000001,0.0,2.1739425086e-14
52,250,256,1e-19,0.9766,99.99700688,20.00000827,30.27012452,-0.02986151,257722,2.577e-14,58.1959786415,100.0,19.99996056,5.040475900000001,0.0,2.1739425086e-14
53,250,256,5e-19,0.9766,99.99700688,20.00000827,30.27012452,-0.02986151,51546,2.577e-14,11.6004023552,100.0,19.99996056,5.040475900000001,0.0,2.1739425086e-14
54,250,256,1e-18,0.9766,99.99700688,20.00000827,30.27012452,-0.02986151,25774,2.577e-14,5.8001654148,100.0,19.99996056,5.040475900000001,0.0,2.1739425086e-14
55,250,256,5e-18,0.9766,99.99700227,20.00454408,30.27359504,-0.02991196,5157,2.5789999999999997e-14,1.1684117317,100.0,20.00449681,5.04048504,0.0,2.1741890442e-14
56,250,256,1e-17,0.9766,99.99699457,20.01210329,30.27937945,-0.02999616,2580,2.58e-14,0.6051058769,100.0,20.01205676,5.04050028,0.0,2.1745999109999998e-14
